job_title,Coding_experience,programming_languages,IDE,Hosted_notebook,Computing_platform,Cluster
Student,5-10 years,Unknown,Unknown,Unknown,Unknown,0
Data Engineer,5-10 years,Unknown,Unknown,Unknown,Unknown,0
Software Engineer,10-20 years,Unknown,Unknown,Unknown,Unknown,3
Data Scientist,5-10 years,Unknown,Unknown,Unknown,Unknown,0
Software Engineer,3-5 years,Unknown,Unknown,Unknown,Unknown,2
Data Analyst,< 1 years,Unknown,Unknown,Unknown,Unknown,0
Student,3-5 years,Unknown,Unknown,Unknown,Unknown,2
Student,< 1 years,Unknown,Unknown,Unknown,Unknown,0
Data Scientist,5-10 years,Unknown,Unknown,Unknown,Unknown,0
Student,< 1 years,Unknown,Unknown,Unknown,Unknown,0
Student,1-2 years,Unknown,Unknown,Unknown,Unknown,1
Research Scientist,1-2 years,Unknown,Unknown,Unknown,Unknown,1
Student,< 1 years,Unknown,Unknown,Unknown,Unknown,0
Data Engineer,< 1 years,Unknown,Unknown,Unknown,Unknown,0
Other,< 1 years,Unknown,Unknown,Unknown,Unknown,0
Student,1-2 years,Unknown,Unknown,Unknown,Unknown,1
Currently not employed,3-5 years,Unknown,Unknown,Unknown,Unknown,2
Student,3-5 years,Unknown,Unknown,Unknown,Unknown,2
Student,1-2 years,Unknown,Unknown,Unknown,Unknown,1
Student,1-2 years,Unknown,Unknown,Unknown,Unknown,1
Statistician,3-5 years,Unknown,Unknown,Unknown,Unknown,2
Data Scientist,< 1 years,Unknown,Unknown,Unknown,Unknown,0
Product/Project Manager,1-2 years,Unknown,Unknown,Unknown,Unknown,1
Data Analyst,< 1 years,Unknown,Unknown,Unknown,Unknown,0
Software Engineer,20+ years,Unknown,Unknown,Unknown,Unknown,3
Student,1-2 years,Unknown,Unknown,Unknown,Unknown,1
Student,3-5 years,Unknown,Unknown,Unknown,Unknown,2
Student,1-2 years,Unknown,Unknown,Unknown,Unknown,1
Software Engineer,10-20 years,Unknown,Unknown,Unknown,Unknown,3
Machine Learning Engineer,3-5 years,Unknown,Unknown,Unknown,Unknown,2
Data Analyst,5-10 years,Unknown,Unknown,Unknown,Unknown,0
Student,3-5 years,Unknown,Unknown,Unknown,Unknown,2
Machine Learning Engineer,10-20 years,Unknown,Unknown,Unknown,Unknown,0
Student,< 1 years,Unknown,Unknown,Unknown,Unknown,0
Student,3-5 years,Unknown,Unknown,Unknown,Unknown,2
Data Scientist,3-5 years,Unknown,Unknown,Unknown,Unknown,2
Currently not employed,5-10 years,Unknown,Unknown,Unknown,Unknown,0
Data Scientist,3-5 years,Unknown,Unknown,Unknown,Unknown,2
Student,3-5 years,Unknown,Unknown,Unknown,Unknown,2
Data Analyst,5-10 years,Unknown,Unknown,Unknown,Unknown,0
Other,10-20 years,Unknown,Unknown,Unknown,Unknown,0
Currently not employed,1-2 years,Unknown,Unknown,Unknown,Unknown,1
Machine Learning Engineer,1-2 years,Unknown,Unknown,Unknown,Unknown,1
Other,3-5 years,Unknown,Unknown,Unknown,Unknown,2
Software Engineer,1-2 years,Unknown,Unknown,Unknown,Unknown,3
Data Scientist,5-10 years,Unknown,Unknown,Unknown,Unknown,0
Data Scientist,3-5 years,Unknown,Unknown,Unknown,Unknown,2
Software Engineer,10-20 years,Unknown,Unknown,Unknown,Unknown,3
Software Engineer,1-2 years,Unknown,Unknown,Unknown,Unknown,3
Software Engineer,5-10 years,Unknown,Unknown,Unknown,Unknown,3
Student,1-2 years,Unknown,Unknown,Unknown,Unknown,1
Data Analyst,1-2 years,Unknown,Unknown,Unknown,Unknown,1
