job_title,Coding_experience,programming_languages,IDE,Hosted_notebook,Computing_platform,Cluster
Student,5-10 years,"['Python', 'R', 'SQL', 'C', 'Javascript', 'MATLAB', 'Other']",Jupyter (JupyterLab,Kaggle Notebooks,A cloud computing platform (AWS,2
Data Engineer,5-10 years,"['Python', 'R', 'SQL']",Visual Studio,Colab Notebooks,A personal computer or laptop,3
Software Engineer,10-20 years,"['Java', 'Javascript', 'Bash']",Visual Studio Code (VSCode),Unknown,A personal computer or laptop,0
Data Scientist,5-10 years,"['Python', 'SQL', 'Bash']",PyCharm,Unknown,A cloud computing platform (AWS,2
Software Engineer,3-5 years,['Python'],Unknown,Unknown,Unknown,0
Data Analyst,< 1 years,"['Python', 'R']",Jupyter (JupyterLab,Unknown,A personal computer or laptop,0
Student,3-5 years,"['Python', 'R', 'C']",Jupyter (JupyterLab,Kaggle Notebooks,A personal computer or laptop,1
Student,< 1 years,['R'],RStudio,Google Cloud AI Platform Notebooks,Unknown,0
Data Scientist,5-10 years,"['Python', 'SQL', 'Bash']",Jupyter (JupyterLab,Kaggle Notebooks,A cloud computing platform (AWS,2
Student,< 1 years,"['Python', 'SQL']",Jupyter (JupyterLab,Unknown,Unknown,0
Student,1-2 years,"['Python', 'R', 'SQL', 'C', 'Java']",Jupyter (JupyterLab,Colab Notebooks,A personal computer or laptop,3
Research Scientist,1-2 years,['R'],RStudio,Unknown,A personal computer or laptop,0
Student,< 1 years,"['Python', 'R', 'SQL', 'MATLAB']",Jupyter (JupyterLab,Kaggle Notebooks,A personal computer or laptop,1
Data Engineer,< 1 years,"['Python', 'SQL', 'MATLAB']",Jupyter (JupyterLab,Kaggle Notebooks,A personal computer or laptop,1
Other,< 1 years,"['Python', 'R']",Jupyter (JupyterLab,Binder / JupyterHub,A personal computer or laptop,3
Student,1-2 years,"['R', 'SQL']",RStudio,Unknown,A personal computer or laptop,0
Currently not employed,3-5 years,['SQL'],Jupyter (JupyterLab,Kaggle Notebooks,A personal computer or laptop,1
Student,3-5 years,"['Python', 'Java', 'Javascript', 'Bash']",Jupyter (JupyterLab,Kaggle Notebooks,A cloud computing platform (AWS,2
Student,1-2 years,"['Python', 'SQL', 'C', 'C++', 'Javascript']",Visual Studio,Kaggle Notebooks,A personal computer or laptop,1
Student,1-2 years,"['Python', 'Java', 'Javascript']",Jupyter (JupyterLab,Unknown,A personal computer or laptop,0
Statistician,3-5 years,"['R', 'SQL', 'C++']",Unknown,Kaggle Notebooks,A personal computer or laptop,1
Data Scientist,< 1 years,"['Python', 'SQL']",Jupyter (JupyterLab,Kaggle Notebooks,A cloud computing platform (AWS,2
Product/Project Manager,1-2 years,['Python'],Jupyter (JupyterLab,IBM Watson Studio,A personal computer or laptop,3
Data Analyst,< 1 years,"['Python', 'SQL']",Jupyter (JupyterLab,Kaggle Notebooks,A personal computer or laptop,1
Software Engineer,20+ years,"['Python', 'C', 'C++', 'Other']",Jupyter (JupyterLab,Kaggle Notebooks,A personal computer or laptop,1
Student,1-2 years,"['Python', 'R']",RStudio,Unknown,A personal computer or laptop,0
Student,3-5 years,"['Python', 'C', 'C++', 'Java']",Jupyter (JupyterLab,Unknown,A personal computer or laptop,0
Student,1-2 years,"['Python', 'Java']",Jupyter (JupyterLab,Kaggle Notebooks,A personal computer or laptop,1
Software Engineer,10-20 years,['Python'],PyCharm,Kaggle Notebooks,A personal computer or laptop,1
Machine Learning Engineer,3-5 years,"['Python', 'Bash']",Jupyter (JupyterLab,Unknown,A personal computer or laptop,0
Data Analyst,5-10 years,"['Python', 'R', 'SQL', 'Javascript', 'Other']",Jupyter (JupyterLab,Binder / JupyterHub,A deep learning workstation (NVIDIA GTX,2
Student,3-5 years,"['Python', 'C', 'C++', 'Java', 'Javascript']",Visual Studio Code (VSCode),Colab Notebooks,A personal computer or laptop,3
